date,ask_price,bid_price,mid_price
01/01/2024 00:32,4.854900,4.851900,4.853400
01/01/2024 02:00,4.891250,4.845960,4.868605
01/01/2024 08:10,4.888600,4.843330,4.865965
01/01/2024 08:31,4.854900,4.851900,4.853400
01/01/2024 08:36,4.855000,4.852000,4.853500
01/01/2024 08:41,4.855100,4.852100,4.853600
01/01/2024 08:46,4.854900,4.851900,4.853400
01/01/2024 08:51,4.855000,4.852000,4.853500
01/01/2024 08:56,4.855100,4.852100,4.853600
01/01/2024 09:01,4.854900,4.851900,4.853400
01/01/2024 09:06,4.855000,4.852000,4.853500
01/01/2024 09:11,4.855100,4.852100,4.853600
01/01/2024 09:16,4.854900,4.851900,4.853400
01/01/2024 09:21,4.855100,4.852100,4.853600
01/01/2024 09:26,4.855200,4.852200,4.853700
01/01/2024 09:31,4.854900,4.851900,4.853400
01/01/2024 09:36,4.855100,4.852100,4.853600
01/01/2024 09:41,4.855200,4.852200,4.853700
01/01/2024 09:46,4.854900,4.851900,4.853400
01/01/2024 09:51,4.855100,4.852100,4.853600
01/01/2024 09:56,4.855200,4.852200,4.853700
01/01/2024 10:01,4.854900,4.851900,4.853400
01/01/2024 10:06,4.855100,4.852100,4.853600
01/01/2024 10:11,4.855200,4.852200,4.853700
01/01/2024 10:12,4.855000,4.852000,4.853500
01/01/2024 10:17,4.855100,4.852100,4.853600
01/01/2024 10:22,4.855200,4.852200,4.853700
01/01/2024 10:27,4.855300,4.852300,4.853800
01/01/2024 10:32,4.855100,4.852100,4.853600
01/01/2024 10:37,4.855300,4.852300,4.853800
01/01/2024 10:42,4.855400,4.852400,4.853900
01/01/2024 10:47,4.855100,4.852100,4.853600
01/01/2024 10:52,4.855300,4.852300,4.853800
01/01/2024 10:57,4.855400,4.852400,4.853900
01/01/2024 11:02,4.855100,4.852100,4.853600
01/01/2024 11:07,4.855300,4.852300,4.853800
01/01/2024 11:12,4.855400,4.852400,4.853900
01/01/2024 11:17,4.855100,4.852100,4.853600
01/01/2024 11:22,4.855300,4.852300,4.853800
01/01/2024 11:27,4.855400,4.852400,4.853900
01/01/2024 11:32,4.855100,4.852100,4.853600
01/01/2024 11:37,4.855300,4.852300,4.853800
01/01/2024 11:42,4.855400,4.852400,4.853900
01/01/2024 11:47,4.855100,4.852100,4.853600
01/01/2024 11:52,4.855300,4.852300,4.853800
01/01/2024 11:57,4.855400,4.852400,4.853900
01/01/2024 12:02,4.855100,4.852100,4.853600
01/01/2024 12:07,4.855300,4.852300,4.853800
01/01/2024 12:12,4.855400,4.852400,4.853900
01/01/2024 12:17,4.855100,4.852100,4.853600
01/01/2024 12:22,4.855400,4.852400,4.853900
01/01/2024 12:27,4.855500,4.852500,4.854000
01/01/2024 12:32,4.855400,4.852400,4.853900
01/01/2024 22:00,4.855400,4.852400,4.853900
01/02/2024 00:24,4.855500,4.852500,4.854000
01/02/2024 00:29,4.855400,4.852400,4.853900
01/02/2024 07:06,4.858400,4.848400,4.853400
01/02/2024 07:10,4.855500,4.852500,4.854000
01/02/2024 07:11,4.855500,4.852500,4.854000
01/02/2024 07:15,4.855300,4.852300,4.853800
01/02/2024 07:16,4.855300,4.852300,4.853800
01/02/2024 07:20,4.855400,4.852300,4.853850
01/02/2024 07:21,4.855400,4.852400,4.853900
01/02/2024 07:24,4.856980,4.849730,4.853355
01/02/2024 07:25,4.855400,4.852100,4.853750
01/02/2024 07:26,4.855300,4.852300,4.853800
01/02/2024 07:28,4.856350,4.849110,4.852730
01/02/2024 07:30,4.855200,4.851900,4.853550
01/02/2024 07:31,4.854400,4.851400,4.852900
01/02/2024 07:35,4.855200,4.852200,4.853700
01/02/2024 07:41,4.854800,4.851800,4.853300
01/02/2024 07:45,4.857010,4.849760,4.853385
01/02/2024 07:46,4.855000,4.852000,4.853500
01/02/2024 07:49,4.856750,4.849500,4.853125
01/02/2024 07:51,4.855000,4.852000,4.853500
01/02/2024 07:56,4.855000,4.852000,4.853500
01/02/2024 07:57,4.856830,4.849570,4.853200
01/02/2024 07:58,4.856920,4.849660,4.853290
01/02/2024 08:01,4.857200,4.849940,4.853570
01/02/2024 08:02,4.856720,4.849460,4.853090
01/02/2024 08:06,4.854900,4.851900,4.853400
01/02/2024 08:09,4.856760,4.849500,4.853130
01/02/2024 08:10,4.854700,4.851700,4.853200
01/02/2024 08:11,4.854900,4.851900,4.853400
01/02/2024 08:13,4.856970,4.849720,4.853345
01/02/2024 08:15,4.856690,4.849440,4.853065
01/02/2024 08:16,4.854900,4.851900,4.853400
01/02/2024 08:21,4.854600,4.851600,4.853100
01/02/2024 08:26,4.854900,4.851900,4.853400
01/02/2024 08:28,4.856870,4.849610,4.853240
01/02/2024 08:30,4.857000,4.849750,4.853375
01/02/2024 08:31,4.855000,4.852000,4.853500
01/02/2024 08:33,4.856840,4.849590,4.853215
01/02/2024 08:36,4.855000,4.852000,4.853500
01/02/2024 08:50,4.856880,4.849630,4.853255
01/02/2024 08:51,4.855000,4.852000,4.853500
01/02/2024 08:53,4.857220,4.849970,4.853595
01/02/2024 08:55,4.857300,4.850040,4.853670
01/02/2024 08:56,4.854900,4.851900,4.853400
01/02/2024 08:58,4.856880,4.849630,4.853255
01/02/2024 09:01,4.856930,4.849680,4.853305
01/02/2024 09:11,4.856970,4.849720,4.853345
01/02/2024 09:16,4.854700,4.851700,4.853200
01/02/2024 09:21,4.854900,4.851900,4.853400
01/02/2024 09:24,4.857090,4.849840,4.853465
01/02/2024 09:26,4.854300,4.851300,4.852800
01/02/2024 09:31,4.854800,4.851800,4.853300
01/02/2024 09:33,4.856940,4.849690,4.853315
01/02/2024 09:36,4.855200,4.851400,4.853300
01/02/2024 09:40,4.857430,4.850180,4.853805
01/02/2024 09:41,4.854800,4.851400,4.853100
01/02/2024 09:44,4.856770,4.849510,4.853140
01/02/2024 09:45,4.857170,4.849910,4.853540
01/02/2024 09:46,4.855100,4.852100,4.853600
01/02/2024 09:47,4.856930,4.849670,4.853300
01/02/2024 09:49,4.856930,4.849670,4.853300
01/02/2024 09:51,4.855500,4.851500,4.853500
01/02/2024 09:55,4.856970,4.849710,4.853340
01/02/2024 10:01,4.856980,4.849720,4.853350
01/02/2024 10:03,4.857180,4.849920,4.853550
01/02/2024 10:06,4.857100,4.849830,4.853465
01/02/2024 10:09,4.856850,4.849580,4.853215
01/02/2024 10:11,4.855100,4.852100,4.853600
01/02/2024 10:13,4.857540,4.850270,4.853905
01/02/2024 10:16,4.854900,4.851900,4.853400
01/02/2024 10:19,4.856900,4.849630,4.853265
01/02/2024 10:21,4.855300,4.852300,4.853800
01/02/2024 10:25,4.856940,4.849670,4.853305
01/02/2024 10:26,4.855200,4.851800,4.853500
01/02/2024 10:31,4.854800,4.851800,4.853300
01/02/2024 10:33,4.856840,4.849580,4.853210
